"Roster View "
"STAAR 3-8,ZY CRUSE ISD,Grade 5,May 2016,2016"

"Last Name","First Name","Reading - Scale Score","Reading - Performance Level"
"-","-","1347","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","989","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","1185","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","743","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","743","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","1347","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","850","Unsatisfactory",
"AAAAAAAAAAAAAAA","BBBBBBBBBB","850","Unsatisfactory",
"AAAAAAAAAAAAAAA","BBBBBBBBBB","1071","Unsatisfactory",
"AAAAAAAAAAAAAAA","BBBBBBBBBB","1209","Unsatisfactory",
"AAAAAAAAAAAAAAA","CCCCCCCCCC","1230","Unsatisfactory",
"AAAAAAAAAAAAAAA","CCCCCCCCCC","850","Unsatisfactory",
"AAAAAAAAAAAAAAA","CCCCCCCCCC","1120","Unsatisfactory",
"AAAAAAAAAAAAAAA","DDDDDDDDDD","1223","Unsatisfactory",
"AAAAAAAAAAAAAAA","DDDDDDDDDD","1156","Unsatisfactory",
"AAAAAAAAAAAAAAA","DDDDDDDDDD","850","Unsatisfactory",
"AAAAAAAAAAAAAAA","EEEEEEEEEE","989","Unsatisfactory",
"AAAAAAAAAAAAAAA","EEEEEEEEEE","1185","Unsatisfactory",
"AAAAAAAAAAAAAAA","EEEEEEEEEE","1244","Unsatisfactory",
"AAAAAAAAAAAAAAA","FFFFFFFFFF","1263","Unsatisfactory",
"AAAAAAAAAAAAAAA","FFFFFFFFFF","1174","Unsatisfactory",
"AAAAAAAAAAAAAAA","FFFFFFFFFF","989","Unsatisfactory",
"AAAAAAAAAAAAAAA","GGGGGGGGGG","1071","Unsatisfactory",
"AAAAAAAAAAAAAAA","GGGGGGGGGG","1200","Unsatisfactory",
"AAAAAAAAAAAAAAA","GGGGGGGGGG","1041","Unsatisfactory",
"AAAAAAAAAAAAAAA","HHHHHHHHHH","1223","Unsatisfactory",
"AAAAAAAAAAAAAAA","HHHHHHHHHH","1092","Unsatisfactory",
"AAAAAAAAAAAAAAA","HHHHHHHHHH","1071","Unsatisfactory",
"AAAAAAAAAAAAAAA","IIIIIIIIII","1244","Unsatisfactory",
"AAAAAAAAAAAAAAA","IIIIIIIIII","1120","Unsatisfactory",
"AAAAAAAAAAAAAAA","IIIIIIIIII","1092","Unsatisfactory",
"AAAAAAAAAAAAAAA","JJJJJJJJJJ","1120","Unsatisfactory",
"AAAAAAAAAAAAAAA","JJJJJJJJJJ","1263","Unsatisfactory",
"AAAAAAAAAAAAAAA","JJJJJJJJJJ","1129","Unsatisfactory",
"AAAAAAAAAAAAAAA","KKKKKKKKKK","1156","Unsatisfactory",
"AAAAAAAAAAAAAAA","KKKKKKKKKK","1129","Unsatisfactory",
"AAAAAAAAAAAAAAA","KKKKKKKKKK","A","A",
"AAAAAAAAAAAAAAA","LLLLLLLLLL","1156","Unsatisfactory",
"AAAAAAAAAAAAAAA","LLLLLLLLLL","O","O",
"AAAAAAAAAAAAAAA","LLLLLLLLLL","1159","Unsatisfactory",
"AAAAAAAAAAAAAAA","MMMMMMMMMM","1159","Unsatisfactory",
"AAAAAAAAAAAAAAA","MMMMMMMMMM","958","Unsatisfactory",
"AAAAAAAAAAAAAAA","MMMMMMMMMM","1185","Unsatisfactory",
"AAAAAAAAAAAAAAA","NNNNNNNNNN","958","Unsatisfactory",
"AAAAAAAAAAAAAAA","NNNNNNNNNN","1184","Unsatisfactory",
"AAAAAAAAAAAAAAA","NNNNNNNNNN","1185","Unsatisfactory",
"AAAAAAAAAAAAAAA","OOOOOOOOOO","1041","Unsatisfactory",
"AAAAAAAAAAAAAAA","OOOOOOOOOO","1209","Unsatisfactory",
"AAAAAAAAAAAAAAA","OOOOOOOOOO","1184","Unsatisfactory",
"AAAAAAAAAAAAAAA","PPPPPPPPPP","D","D",
"AAAAAAAAAAAAAAA","PPPPPPPPPP","1206","Unsatisfactory",
"AAAAAAAAAAAAAAA","PPPPPPPPPP","1209","Unsatisfactory",
"AAAAAAAAAAAAAAA","QQQQQQQQQQ","1206","Unsatisfactory",
"AAAAAAAAAAAAAAA","QQQQQQQQQQ","1230","Unsatisfactory",
"AAAAAAAAAAAAAAA","QQQQQQQQQQ","D","D",
"AAAAAAAAAAAAAAA","RRRRRRRRRR","1226","Unsatisfactory",
"AAAAAAAAAAAAAAA","RRRRRRRRRR","1230","Unsatisfactory",
"AAAAAAAAAAAAAAA","RRRRRRRRRR","D","D",
"AAAAAAAAAAAAAAA","SSSSSSSSSS","D","D",
"AAAAAAAAAAAAAAA","SSSSSSSSSS","1249","Unsatisfactory",
