"Roster View "
"STAAR 3-8,ZY CRUSE ISD,Grade 5,May 2016,2016"

"Last Name","First Name","Student ID (PEIMS)","Campus Name","Reading - Raw Score","Reading - Scale Score","Reading - Performance Level"
"-","-","990005415","Yippee J H","15","1347","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","996053001","Yippee J H","1","989","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","997056001","Yahoo M S","5","1185","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","998058001","Yahoo M S","0","743","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","998058100","Yahoo M S","0","743","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","990005901","Yahoo M S","15","1347","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","990051001","Yippee J H","0","850","Unsatisfactory",
"AAAAAAAAAAAAAAA","BBBBBBBBBB","990051002","Yippee J H","0","850","Unsatisfactory",
"AAAAAAAAAAAAAAA","BBBBBBBBBB","996053002","Yippee J H","2","1071","Unsatisfactory",
"AAAAAAAAAAAAAAA","BBBBBBBBBB","997056002","Yahoo M S","6","1209","Unsatisfactory",
"AAAAAAAAAAAAAAA","CCCCCCCCCC","997056003","Yahoo M S","7","1230","Unsatisfactory",
"AAAAAAAAAAAAAAA","CCCCCCCCCC","990051003","Yippee J H","0","850","Unsatisfactory",
"AAAAAAAAAAAAAAA","CCCCCCCCCC","996053003","Yippee J H","3","1120","Unsatisfactory",
"AAAAAAAAAAAAAAA","DDDDDDDDDD","997056004","Yahoo M S","8","1223","Unsatisfactory",
"AAAAAAAAAAAAAAA","DDDDDDDDDD","996053004","Yippee J H","4","1156","Unsatisfactory",
"AAAAAAAAAAAAAAA","DDDDDDDDDD","990051004","Yippee J H","0","850","Unsatisfactory",
"AAAAAAAAAAAAAAA","EEEEEEEEEE","990051005","Yippee J H","1","989","Unsatisfactory",
"AAAAAAAAAAAAAAA","EEEEEEEEEE","996053005","Yippee J H","5","1185","Unsatisfactory",
"AAAAAAAAAAAAAAA","EEEEEEEEEE","997056005","Yahoo M S","9","1244","Unsatisfactory",
"AAAAAAAAAAAAAAA","FFFFFFFFFF","997056006","Yahoo M S","10","1263","Unsatisfactory",
"AAAAAAAAAAAAAAA","FFFFFFFFFF","996053006","Yippee J H","6","1174","Unsatisfactory",
"AAAAAAAAAAAAAAA","FFFFFFFFFF","990051006","Yippee J H","1","989","Unsatisfactory",
"AAAAAAAAAAAAAAA","GGGGGGGGGG","990051007","Yippee J H","2","1071","Unsatisfactory",
"AAAAAAAAAAAAAAA","GGGGGGGGGG","996053007","Yippee J H","7","1200","Unsatisfactory",
"AAAAAAAAAAAAAAA","GGGGGGGGGG","997056007","Yahoo M S","2","1041","Unsatisfactory",
"AAAAAAAAAAAAAAA","HHHHHHHHHH","996053008","Yippee J H","8","1223","Unsatisfactory",
"AAAAAAAAAAAAAAA","HHHHHHHHHH","997056008","Yahoo M S","3","1092","Unsatisfactory",
"AAAAAAAAAAAAAAA","HHHHHHHHHH","990051008","Yippee J H","2","1071","Unsatisfactory",
"AAAAAAAAAAAAAAA","IIIIIIIIII","996053009","Yippee J H","9","1244","Unsatisfactory",
"AAAAAAAAAAAAAAA","IIIIIIIIII","990051009","Yippee J H","3","1120","Unsatisfactory",
"AAAAAAAAAAAAAAA","IIIIIIIIII","997056009","Yahoo M S","3","1092","Unsatisfactory",
"AAAAAAAAAAAAAAA","JJJJJJJJJJ","990051010","Yippee J H","3","1120","Unsatisfactory",
"AAAAAAAAAAAAAAA","JJJJJJJJJJ","996053010","Yippee J H","10","1263","Unsatisfactory",
"AAAAAAAAAAAAAAA","JJJJJJJJJJ","997056010","Yahoo M S","4","1129","Unsatisfactory",
"AAAAAAAAAAAAAAA","KKKKKKKKKK","990051011","Yippee J H","4","1156","Unsatisfactory",
"AAAAAAAAAAAAAAA","KKKKKKKKKK","997056011","Yahoo M S","4","1129","Unsatisfactory",
"AAAAAAAAAAAAAAA","KKKKKKKKKK","996053011","Yippee J H","A","A","A",
"AAAAAAAAAAAAAAA","LLLLLLLLLL","990051012","Yippee J H","4","1156","Unsatisfactory",
"AAAAAAAAAAAAAAA","LLLLLLLLLL","996053012","Yippee J H","O","O","O",
"AAAAAAAAAAAAAAA","LLLLLLLLLL","997056012","Yahoo M S","5","1159","Unsatisfactory",
"AAAAAAAAAAAAAAA","MMMMMMMMMM","997056013","Yahoo M S","5","1159","Unsatisfactory",
"AAAAAAAAAAAAAAA","MMMMMMMMMM","996053013","Yippee J H","1","958","Unsatisfactory",
"AAAAAAAAAAAAAAA","MMMMMMMMMM","990051013","Yippee J H","5","1185","Unsatisfactory",
"AAAAAAAAAAAAAAA","NNNNNNNNNN","996053014","Yippee J H","1","958","Unsatisfactory",
"AAAAAAAAAAAAAAA","NNNNNNNNNN","997056014","Yahoo M S","6","1184","Unsatisfactory",
"AAAAAAAAAAAAAAA","NNNNNNNNNN","990051014","Yippee J H","5","1185","Unsatisfactory",
"AAAAAAAAAAAAAAA","OOOOOOOOOO","996053015","Yippee J H","2","1041","Unsatisfactory",
"AAAAAAAAAAAAAAA","OOOOOOOOOO","990051015","Yippee J H","6","1209","Unsatisfactory",
