"Roster View "
"STAAR 3-8,ZY CRUSE ISD,Grade 5,May 2016,2016"

"Last Name","First Name","Reading - Raw Score","Reading - Scale Score","Reading - Performance Level"
"-","-","15","1347","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","1","989","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","5","1185","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","0","743","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","0","743","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","15","1347","Unsatisfactory",
"AAAAAAAAAAAAAAA","AAAAAAAAAA","0","850","Unsatisfactory",
"AAAAAAAAAAAAAAA","BBBBBBBBBB","0","850","Unsatisfactory",
"AAAAAAAAAAAAAAA","BBBBBBBBBB","2","1071","Unsatisfactory",
"AAAAAAAAAAAAAAA","BBBBBBBBBB","6","1209","Unsatisfactory",
"AAAAAAAAAAAAAAA","CCCCCCCCCC","7","1230","Unsatisfactory",
"AAAAAAAAAAAAAAA","CCCCCCCCCC","0","850","Unsatisfactory",
"AAAAAAAAAAAAAAA","CCCCCCCCCC","3","1120","Unsatisfactory",
"AAAAAAAAAAAAAAA","DDDDDDDDDD","8","1223","Unsatisfactory",
"AAAAAAAAAAAAAAA","DDDDDDDDDD","4","1156","Unsatisfactory",
"AAAAAAAAAAAAAAA","DDDDDDDDDD","0","850","Unsatisfactory",
"AAAAAAAAAAAAAAA","EEEEEEEEEE","1","989","Unsatisfactory",
"AAAAAAAAAAAAAAA","EEEEEEEEEE","5","1185","Unsatisfactory",
"AAAAAAAAAAAAAAA","EEEEEEEEEE","9","1244","Unsatisfactory",
"AAAAAAAAAAAAAAA","FFFFFFFFFF","10","1263","Unsatisfactory",
"AAAAAAAAAAAAAAA","FFFFFFFFFF","6","1174","Unsatisfactory",
"AAAAAAAAAAAAAAA","FFFFFFFFFF","1","989","Unsatisfactory",
"AAAAAAAAAAAAAAA","GGGGGGGGGG","2","1071","Unsatisfactory",
"AAAAAAAAAAAAAAA","GGGGGGGGGG","7","1200","Unsatisfactory",
"AAAAAAAAAAAAAAA","GGGGGGGGGG","2","1041","Unsatisfactory",
"AAAAAAAAAAAAAAA","HHHHHHHHHH","8","1223","Unsatisfactory",
"AAAAAAAAAAAAAAA","HHHHHHHHHH","3","1092","Unsatisfactory",
"AAAAAAAAAAAAAAA","HHHHHHHHHH","2","1071","Unsatisfactory",
"AAAAAAAAAAAAAAA","IIIIIIIIII","9","1244","Unsatisfactory",
"AAAAAAAAAAAAAAA","IIIIIIIIII","3","1120","Unsatisfactory",
"AAAAAAAAAAAAAAA","IIIIIIIIII","3","1092","Unsatisfactory",
"AAAAAAAAAAAAAAA","JJJJJJJJJJ","3","1120","Unsatisfactory",
"AAAAAAAAAAAAAAA","JJJJJJJJJJ","10","1263","Unsatisfactory",
"AAAAAAAAAAAAAAA","JJJJJJJJJJ","4","1129","Unsatisfactory",
"AAAAAAAAAAAAAAA","KKKKKKKKKK","4","1156","Unsatisfactory",
"AAAAAAAAAAAAAAA","KKKKKKKKKK","4","1129","Unsatisfactory",
"AAAAAAAAAAAAAAA","KKKKKKKKKK","A","A","A",
"AAAAAAAAAAAAAAA","LLLLLLLLLL","4","1156","Unsatisfactory",
"AAAAAAAAAAAAAAA","LLLLLLLLLL","O","O","O",
"AAAAAAAAAAAAAAA","LLLLLLLLLL","5","1159","Unsatisfactory",
"AAAAAAAAAAAAAAA","MMMMMMMMMM","5","1159","Unsatisfactory",
"AAAAAAAAAAAAAAA","MMMMMMMMMM","1","958","Unsatisfactory",
"AAAAAAAAAAAAAAA","MMMMMMMMMM","5","1185","Unsatisfactory",
"AAAAAAAAAAAAAAA","NNNNNNNNNN","1","958","Unsatisfactory",
"AAAAAAAAAAAAAAA","NNNNNNNNNN","6","1184","Unsatisfactory",
"AAAAAAAAAAAAAAA","NNNNNNNNNN","5","1185","Unsatisfactory",
"AAAAAAAAAAAAAAA","OOOOOOOOOO","2","1041","Unsatisfactory",
"AAAAAAAAAAAAAAA","OOOOOOOOOO","6","1209","Unsatisfactory",
"AAAAAAAAAAAAAAA","OOOOOOOOOO","6","1184","Unsatisfactory",
"AAAAAAAAAAAAAAA","PPPPPPPPPP","D","D","D",
"AAAAAAAAAAAAAAA","PPPPPPPPPP","7","1206","Unsatisfactory",
"AAAAAAAAAAAAAAA","PPPPPPPPPP","6","1209","Unsatisfactory",
"AAAAAAAAAAAAAAA","QQQQQQQQQQ","7","1206","Unsatisfactory",
"AAAAAAAAAAAAAAA","QQQQQQQQQQ","7","1230","Unsatisfactory",
"AAAAAAAAAAAAAAA","QQQQQQQQQQ","D","D","D",
"AAAAAAAAAAAAAAA","RRRRRRRRRR","8","1226","Unsatisfactory",
"AAAAAAAAAAAAAAA","RRRRRRRRRR","7","1230","Unsatisfactory",
"AAAAAAAAAAAAAAA","RRRRRRRRRR","D","D","D",
"AAAAAAAAAAAAAAA","SSSSSSSSSS","D","D","D",
"AAAAAAAAAAAAAAA","SSSSSSSSSS","8","1249","Unsatisfactory",
"AAAAAAAAAAAAAAA","SSSSSSSSSS","8","1226","Unsatisfactory",
"AAAAAAAAAAAAAAA","TTTTTTTTTT","D","D","D",
"AAAAAAAAAAAAAAA","TTTTTTTTTT","8","1249","Unsatisfactory",
"AAAAAAAAAAAAAAA","TTTTTTTTTT","9","1244","Unsatisfactory",
"AAAAAAAAAAAAAAA","UUUUUUUUUU","9","1244","Unsatisfactory",
"AAAAAAAAAAAAAAA","UUUUUUUUUU","9","1266","Unsatisfactory",
"AAAAAAAAAAAAAAA","VVVVVVVVVV","9","1266","Unsatisfactory",
"AAAAAAAAAAAAAAA","VVVVVVVVVV","10","1261","Unsatisfactory",
"AAAAAAAAAAAAAAA","WWWWWWWWWW","10","1281","Unsatisfactory",
"AAAAAAAAAAAAAAA","WWWWWWWWWW","11","1276","Unsatisfactory",
"AAAAAAAAAAAAAAA","XXXXXXXXXX","12","1291","Unsatisfactory",
"AAAAAAAAAAAAAAA","XXXXXXXXXX","10","1281","Unsatisfactory",
"AAAAAAAAAAAAAAA","YYYYYYYYYY","13","1305","Unsatisfactory",
"AAAAAAAAAAAAAAA","YYYYYYYYYY","10","1281","Unsatisfactory",
"AAAAAAAAAAAAAAA","ZZZZZZZZZZ","10","1281","Unsatisfactory",
"AAAAAAAAAAAAAAA","ZZZZZZZZZZ","14","1318","Unsatisfactory",
"BBBBBBBBBBBBBBB","AAAAAAAAAA","11","1296","Unsatisfactory",
"BBBBBBBBBBBBBBB","AAAAAAAAAA","15","1331","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","0","743","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","14","1335","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","16","1344","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","10","1263","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","11","1296","Unsatisfactory",
"BBBBBBBBBBBBBBB","CCCCCCCCCC","11","1296","Unsatisfactory",
"BBBBBBBBBBBBBBB","CCCCCCCCCC","P","P","P",
"BBBBBBBBBBBBBBB","DDDDDDDDDD","11","1296","Unsatisfactory",
"BBBBBBBBBBBBBBB","DDDDDDDDDD","P","P","P",
"BBBBBBBBBBBBBBB","EEEEEEEEEE","12","1310","Unsatisfactory",
"BBBBBBBBBBBBBBB","FFFFFFFFFF","12","1310","Unsatisfactory",
"BBBBBBBBBBBBBBB","GGGGGGGGGG","13","1323","Unsatisfactory",
"BBBBBBBBBBBBBBB","HHHHHHHHHH","13","1323","Unsatisfactory",
"BBBBBBBBBBBBBBB","IIIIIIIIII","14","1335","Unsatisfactory",
"BBBBBBBBBBBBBBB","JJJJJJJJJJ","14","1335","Unsatisfactory",
"BBBBBBBBBBBBBBB","KKKKKKKKKK","15","1347","Unsatisfactory",
"BBBBBBBBBBBBBBB","LLLLLLLLLL","15","1347","Unsatisfactory",
"BBBBBBBBBBBBBBB","MMMMMMMMMM","16","1359","Unsatisfactory",
"BBBBBBBBBBBBBBB","NNNNNNNNNN","16","1359","Unsatisfactory",
"BBBBBBBBBBBBBBB","OOOOOOOOOO","17","1370","Unsatisfactory",
"BBBBBBBBBBBBBBB","PPPPPPPPPP","17","1370","Unsatisfactory",
"BBBBBBBBBBBBBBB","QQQQQQQQQQ","18","1381","Unsatisfactory",
"BBBBBBBBBBBBBBB","RRRRRRRRRR","18","1381","Unsatisfactory",
"BBBBBBBBBBBBBBB","SSSSSSSSSS","19","1392","Unsatisfactory",
"BBBBBBBBBBBBBBB","TTTTTTTTTT","19","1392","Unsatisfactory",
"BBBBBBBBBBBBBBB","UUUUUUUUUU","20","1403","Unsatisfactory",
"BBBBBBBBBBBBBBB","VVVVVVVVVV","20","1403","Unsatisfactory",
"BBBBBBBBBBBBBBB","WWWWWWWWWW","D","D","D",
"BBBBBBBBBBBBBBB","WWWWWWWWWW","21","1413","Unsatisfactory",
"BBBBBBBBBBBBBBB","XXXXXXXXXX","22","1424","Unsatisfactory",
"BBBBBBBBBBBBBBB","XXXXXXXXXX","D","D","D",
"BBBBBBBBBBBBBBB","YYYYYYYYYY","23","1434","Unsatisfactory",
"BBBBBBBBBBBBBBB","YYYYYYYYYY","D","D","D",
"BBBBBBBBBBBBBBB","ZZZZZZZZZZ","D","D","D",
"BBBBBBBBBBBBBBB","ZZZZZZZZZZ","24","1445","Unsatisfactory",
